MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.385986
,2022-01-02,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.380643
,2022-01-03,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.693942
,2022-01-04,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.656192
,2022-01-05,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.819092
,2022-01-06,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,5.741617
,2022-01-07,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,8.105552
,2022-01-08,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,6.978692
,2022-01-09,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.049134
,2022-01-10,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,8.088468
,2022-01-11,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,8.306503
,2022-01-12,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.984853
,2022-01-13,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,8.775954
,2022-01-14,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.838405
,2022-01-15,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.674593
,2022-01-16,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.495878
,2022-01-17,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.150052
,2022-01-18,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.431094
,2022-01-19,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.648288
,2022-01-20,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.911111
,2022-01-21,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.541104
,2022-01-22,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,6.349273
,2022-01-23,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,1.508361
,2022-01-24,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,6.437472
,2022-01-25,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,8.364818999999999
,2022-01-26,2131,OLIVEIRA LOPES,Consumidor Especial,SUDESTE,18.48,7.690988
