MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-04-01,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.690255
,2023-04-02,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.567524
,2023-04-03,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.977323
,2023-04-04,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.1131
,2023-04-05,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.138185
,2023-04-06,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.168
,2023-04-07,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.010879
,2023-04-08,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.85183
,2023-04-09,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.503298
,2023-04-10,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.870501
,2023-04-11,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.921824
,2023-04-12,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.985173
,2023-04-13,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.11148
,2023-04-14,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.055373
,2023-04-15,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.966442
,2023-04-16,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.389889
,2023-04-17,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.004276
,2023-04-18,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,4.042856
,2023-04-19,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.866203
,2023-04-20,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.562411
,2023-04-21,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.148864
,2023-04-22,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.542529
,2023-04-23,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.213487
,2023-04-24,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.632925
,2023-04-25,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.642854
,2023-04-26,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.692624
,2023-04-27,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.788679
,2023-04-28,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.63048
,2023-04-29,42253,PEPE SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,3.659932
