MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.188111
,2023-01-02,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.195913
,2023-01-03,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.188581
,2023-01-04,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.203797
,2023-01-05,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.200855
,2023-01-06,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.2234249999999999
,2023-01-07,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.204911
,2023-01-08,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.203655
,2023-01-09,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,2.554813
,2023-01-10,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,5.535652
,2023-01-11,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,5.557234
,2023-01-12,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,5.938055
,2023-01-13,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,6.213368
,2023-01-14,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,2.454121
,2023-01-15,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.52109
,2023-01-16,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,5.466676
,2023-01-17,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,6.083394
,2023-01-18,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,6.105348
,2023-01-19,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,6.446897
,2023-01-20,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,5.951645
,2023-01-21,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,2.72446
,2023-01-22,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,0.2014439999999999
,2023-01-23,44713,PERIN CL 514,Consumidor Livre,SUL,12.0,3.791407
