MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-06-01,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.45305
,2023-06-02,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.384622
,2023-06-03,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.455217
,2023-06-04,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.360577
,2023-06-05,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,2.993766
,2023-06-06,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.072899
,2023-06-07,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.173493
,2023-06-08,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.839383
,2023-06-09,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.888831
,2023-06-10,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.999469
,2023-06-11,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.876602
,2023-06-12,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.471407
,2023-06-13,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,4.23963
,2023-06-14,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,4.008828
,2023-06-15,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.798347
,2023-06-16,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.522179
,2023-06-17,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.855815
,2023-06-18,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.881624
,2023-06-19,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.583607
,2023-06-20,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.640051
,2023-06-21,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.737264
,2023-06-22,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.788807
,2023-06-23,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.51027
,2023-06-24,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.485318
,2023-06-25,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.545418
,2023-06-26,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.185226
,2023-06-27,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,2.944261
,2023-06-28,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,2.84784
,2023-06-29,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.129648
,2023-06-30,43186,PINHAIS ADMINISTRADORA,Consumidor Especial,SUL,12.0,3.12175
