MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2024-02-01,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.383207
,2024-02-02,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.457919
,2024-02-03,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.820399
,2024-02-04,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.198169
,2024-02-05,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.924877
,2024-02-06,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.89178
,2024-02-07,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.499361
,2024-02-08,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.444958
,2024-02-09,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.192309999999999
,2024-02-10,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.243343
,2024-02-11,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.08302
,2024-02-12,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.659646
,2024-02-13,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.292424
,2024-02-14,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.840024
,2024-02-15,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.589224
,2024-02-16,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.988168
,2024-02-17,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.993644
,2024-02-18,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.351719
,2024-02-19,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.140356
,2024-02-20,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.849173
,2024-02-21,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.809698
,2024-02-22,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.367917
,2024-02-23,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.390099
,2024-02-24,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.450506
,2024-02-25,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.123701
,2024-02-26,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.061949
,2024-02-27,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.173533
,2024-02-28,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.783893
,2024-02-29,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.461246000000001
202403.0,2024-03-01,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.045265
202403.0,2024-03-02,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.905699
202403.0,2024-03-03,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.5680270000000003
202403.0,2024-03-04,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.271338
202403.0,2024-03-05,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.462789
202403.0,2024-03-06,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.211156
202403.0,2024-03-07,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.250175
202403.0,2024-03-08,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.670662
202403.0,2024-03-09,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.212473
202403.0,2024-03-10,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.122702
202403.0,2024-03-11,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.3711020000000005
202403.0,2024-03-12,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.189998
202403.0,2024-03-13,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.686554
202403.0,2024-03-14,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.765725
202403.0,2024-03-15,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.133554
202403.0,2024-03-16,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.805021
202403.0,2024-03-17,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.522339
202403.0,2024-03-18,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.334141
202403.0,2024-03-19,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.579426
202403.0,2024-03-20,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.196036
202403.0,2024-03-21,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.271328
202403.0,2024-03-22,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.214502
202403.0,2024-03-23,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.820615
202403.0,2024-03-24,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.15896
202403.0,2024-03-25,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.180465
202403.0,2024-03-26,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.496222
202403.0,2024-03-27,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.118311
202403.0,2024-03-28,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,6.930098
202403.0,2024-03-29,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,5.272772
202403.0,2024-03-30,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.012101
202403.0,2024-03-31,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.638912
202404.0,2024-04-01,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.802341
202404.0,2024-04-02,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.182945
202404.0,2024-04-03,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,7.893475
202404.0,2024-04-04,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.223563
202404.0,2024-04-05,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.552904
202404.0,2024-04-06,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.284302
202404.0,2024-04-07,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.201637
202404.0,2024-04-08,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.856559
202404.0,2024-04-09,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.735395
202404.0,2024-04-10,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.840442
202404.0,2024-04-11,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.244777
202404.0,2024-04-12,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.916498
202404.0,2024-04-13,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.805524
202404.0,2024-04-14,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,3.354156
202404.0,2024-04-15,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.163794
202404.0,2024-04-16,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.340856
202404.0,2024-04-17,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,10.026656
202404.0,2024-04-18,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.888382
202404.0,2024-04-19,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.63294
202404.0,2024-04-20,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.196467
202404.0,2024-04-21,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.185845
202404.0,2024-04-22,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.339671
202404.0,2024-04-23,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.572496
202404.0,2024-04-24,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.754376
202404.0,2024-04-25,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,8.978022
202404.0,2024-04-26,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.248521
202404.0,2024-04-27,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.754878
202404.0,2024-04-28,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.654196
202404.0,2024-04-29,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.201338
202404.0,2024-04-30,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.294239
202405.0,2024-05-01,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.648413
202405.0,2024-05-02,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.781257
202405.0,2024-05-03,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.639369
202405.0,2024-05-04,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.929822
202405.0,2024-05-05,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,2.603717
202405.0,2024-05-06,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,4.425307
202405.0,2024-05-07,107924,SANTA RITA FASA,Consumidor Livre,SUDESTE,16.799999999999997,9.937703
