MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,0.715425
,2022-01-02,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,2.892502
,2022-01-03,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.830215
,2022-01-04,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.270865
,2022-01-05,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.490989
,2022-01-06,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.601394
,2022-01-07,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.211254
,2022-01-08,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.810062
,2022-01-09,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,3.10367
,2022-01-10,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,6.732064
,2022-01-11,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.412539
,2022-01-12,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.129489
,2022-01-13,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.352566
,2022-01-14,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.412873
,2022-01-15,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.069993
,2022-01-16,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,3.095717
,2022-01-17,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.318458
,2022-01-18,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.12374
,2022-01-19,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.505086
,2022-01-20,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.585927
,2022-01-21,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.579053
,2022-01-22,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.418295
,2022-01-23,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,2.918011
,2022-01-24,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,9.517083
,2022-01-25,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.593043
,2022-01-26,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.265986
,2022-01-27,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.708863
,2022-01-28,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.714733
,2022-01-29,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.997223
,2022-01-30,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,3.356524
,2022-01-31,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.365882
,2022-02-01,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.62757
,2022-02-02,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.717822
,2022-02-03,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.631927
,2022-02-04,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.872511
,2022-02-05,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,7.879589999999999
,2022-02-06,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,3.43691
,2022-02-07,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.685096999999999
,2022-02-08,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.924832
,2022-02-09,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.850177
,2022-02-10,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.978280999999999
,2022-02-11,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.735291
,2022-02-12,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.387091
,2022-02-13,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,3.41612
,2022-02-14,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,9.039786
,2022-02-15,67921,SHOPPING ITAIGARA,Consumidor Especial,NORDESTE,21.6,8.462479
