MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.595023
,2022-01-02,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.043419
,2022-01-03,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.175165
,2022-01-04,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.956316
,2022-01-05,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.464475
,2022-01-06,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.856127
,2022-01-07,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.445676
,2022-01-08,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.730246
,2022-01-09,93057,SIGA,Consumidor Especial,SUDESTE,23.52,14.553756
,2022-01-10,93057,SIGA,Consumidor Especial,SUDESTE,23.52,2.575068
,2022-01-11,93057,SIGA,Consumidor Especial,SUDESTE,23.52,1.826345
,2022-01-12,93057,SIGA,Consumidor Especial,SUDESTE,23.52,7.441813
,2022-01-13,93057,SIGA,Consumidor Especial,SUDESTE,23.52,16.960147
,2022-01-14,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.271018
,2022-01-15,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.891631
,2022-01-16,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.372061
,2022-01-17,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.121045
,2022-01-18,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.42571
,2022-01-19,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.001224
,2022-01-20,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.620147
,2022-01-21,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.972399
,2022-01-22,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.442055
,2022-01-23,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.093902
,2022-01-24,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.189762
,2022-01-25,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.443607
,2022-01-26,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.507345
,2022-01-27,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.246575
,2022-01-28,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.23112
,2022-01-29,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.315421
,2022-01-30,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.105186
,2022-01-31,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.022739
,2022-02-01,93057,SIGA,Consumidor Especial,SUDESTE,23.52,15.647537
,2022-02-02,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.919862000000002
,2022-02-03,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.779666
,2022-02-04,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.233357
,2022-02-05,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.409645
,2022-02-06,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.665085
,2022-02-07,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.698802
,2022-02-08,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.737248
,2022-02-09,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.991291
,2022-02-10,93057,SIGA,Consumidor Especial,SUDESTE,23.52,16.753905
,2022-02-11,93057,SIGA,Consumidor Especial,SUDESTE,23.52,16.614487
,2022-02-12,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.26475
,2022-02-13,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.074344
,2022-02-14,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.380343
,2022-02-15,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.084921
,2022-02-16,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.942952
,2022-02-17,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.818915
,2022-02-18,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.515492
,2022-02-19,93057,SIGA,Consumidor Especial,SUDESTE,23.52,16.906881
,2022-02-20,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.929669
,2022-02-21,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.813066
,2022-02-22,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.153563
,2022-02-23,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.057905
,2022-02-24,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.144303
,2022-02-25,93057,SIGA,Consumidor Especial,SUDESTE,23.52,13.318062
,2022-02-26,93057,SIGA,Consumidor Especial,SUDESTE,23.52,14.410134
,2022-02-27,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.676632
,2022-02-28,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.564168
,2022-03-01,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.712127
,2022-03-02,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.91935
,2022-03-03,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.629449
,2022-03-04,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.949846
,2022-03-05,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.491281
,2022-03-06,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.598564
,2022-03-07,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.591833
,2022-03-08,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.954511
,2022-03-09,93057,SIGA,Consumidor Especial,SUDESTE,23.52,19.247409
,2022-03-10,93057,SIGA,Consumidor Especial,SUDESTE,23.52,19.085188
,2022-03-11,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.815689
,2022-03-12,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.609204
,2022-03-13,93057,SIGA,Consumidor Especial,SUDESTE,23.52,16.464395
,2022-03-14,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.744416
,2022-03-15,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.795441
,2022-03-16,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.779921
,2022-03-17,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.633476
,2022-03-18,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.685036
,2022-03-19,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.391074
,2022-03-20,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.192239
,2022-03-21,93057,SIGA,Consumidor Especial,SUDESTE,23.52,19.211831
,2022-03-22,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.957834
,2022-03-23,93057,SIGA,Consumidor Especial,SUDESTE,23.52,19.004604
,2022-03-24,93057,SIGA,Consumidor Especial,SUDESTE,23.52,19.016251
,2022-03-25,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.953863
,2022-03-26,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.452083
,2022-03-27,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.313956
,2022-03-28,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.712789
,2022-03-29,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.379453
,2022-03-30,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.597737
,2022-03-31,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.754627
,2022-04-01,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.495621
,2022-04-02,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.494474
,2022-04-03,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.15934
,2022-04-04,93057,SIGA,Consumidor Especial,SUDESTE,23.52,14.072648
,2022-04-05,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.552974
,2022-04-06,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.334116
,2022-04-07,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.722332
,2022-04-08,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.99725
,2022-04-09,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.538553
,2022-04-10,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.614354
,2022-04-11,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.636198
,2022-04-12,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.833449
,2022-04-13,93057,SIGA,Consumidor Especial,SUDESTE,23.52,17.94812
,2022-04-14,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.434498
,2022-04-15,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.29244
,2022-04-16,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.404658
,2022-04-17,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.75407
,2022-04-18,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.976087
,2022-04-19,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.847484
,2022-04-20,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.772444
,2022-04-21,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.51109
,2022-04-22,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.564787
,2022-04-23,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.390365
,2022-04-24,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.625666
,2022-04-25,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.78634
,2022-04-26,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.803376
,2022-04-27,93057,SIGA,Consumidor Especial,SUDESTE,23.52,18.747583
