MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,0.377674
,2023-01-02,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,0.417247
,2023-01-03,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,0.704437
,2023-01-04,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,1.561096
,2023-01-05,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,1.319861
,2023-01-06,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,1.474899
,2023-01-07,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,0.7404120000000001
,2023-01-08,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,0.457214
,2023-01-09,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,1.444266
,2023-01-10,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,1.844629
,2023-01-11,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,2.788742
,2023-01-12,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.729129
,2023-01-13,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,1.95466
,2023-01-14,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,2.707761
,2023-01-15,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.340912
,2023-01-16,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,2.788519
,2023-01-17,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.939103
,2023-01-18,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.674061
,2023-01-19,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,2.885812
,2023-01-20,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.681197
,2023-01-21,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.69532
,2023-01-22,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.23435
,2023-01-23,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.3170770000000003
,2023-01-24,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.027861
,2023-01-25,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.42706
,2023-01-26,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,2.6877
,2023-01-27,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,5.537268
,2023-01-28,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.717326
,2023-01-29,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,2.313554
,2023-01-30,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.36912
,2023-01-31,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,5.78286
,2023-02-01,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.627472
,2023-02-02,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.540473
,2023-02-03,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,5.248282
,2023-02-04,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.929311
,2023-02-05,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.665062
,2023-02-06,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.159141
,2023-02-07,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,7.433992
,2023-02-08,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.648401
,2023-02-09,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,7.592547
,2023-02-10,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,5.802772
,2023-02-11,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.912276
,2023-02-12,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.290715
,2023-02-13,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,7.360746000000001
,2023-02-14,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.582958
,2023-02-15,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,8.076277
,2023-02-16,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,8.904708
,2023-02-17,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,8.924406
,2023-02-18,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.087986
,2023-02-19,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,5.55965
,2023-02-20,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.760477
,2023-02-21,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,3.688066
,2023-02-22,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.390637
,2023-02-23,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.7030080000000005
,2023-02-24,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,7.077705
,2023-02-25,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,6.868678
,2023-02-26,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.725102
,2023-02-27,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,8.819944
,2023-02-28,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,9.198477
,2023-03-01,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,5.817921
,2023-03-02,50788,SUSTENNUTRI DRO CL 514,Consumidor Livre,SUDESTE,18.0,4.650154
