MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,4.901328
,2022-01-02,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.318227
,2022-01-03,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.411789
,2022-01-04,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.547095
,2022-01-05,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.348226
,2022-01-06,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.454804
,2022-01-07,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,12.940121
,2022-01-08,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,9.575319
,2022-01-09,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,8.646457
,2022-01-10,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.367188
,2022-01-11,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.233588
,2022-01-12,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,21.912491
,2022-01-13,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,19.205943
,2022-01-14,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,11.877205
,2022-01-15,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.214058
,2022-01-16,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.360813
,2022-01-17,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.195487
,2022-01-18,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,12.349067
,2022-01-19,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.729857
,2022-01-20,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.111887
,2022-01-21,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.607298
,2022-01-22,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.954581
,2022-01-23,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.777869
,2022-01-24,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.527557
,2022-01-25,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.908048
,2022-01-26,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.453263
,2022-01-27,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,18.87298
,2022-01-28,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,12.642426
,2022-01-29,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,9.025171
,2022-01-30,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,10.249341
,2022-01-31,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,12.653102
,2022-02-01,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.25932
,2022-02-02,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.797796
,2022-02-03,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.466806
,2022-02-04,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.364489
,2022-02-05,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.230302
,2022-02-06,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.338175
,2022-02-07,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.036283
,2022-02-08,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,11.512642
,2022-02-09,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,18.980464
,2022-02-10,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.743908
,2022-02-11,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.428099
,2022-02-12,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.260584
,2022-02-13,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.831135
,2022-02-14,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.720314
,2022-02-15,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.816325
,2022-02-16,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.109077
,2022-02-17,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,18.39582
,2022-02-18,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.046871
,2022-02-19,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.365949
,2022-02-20,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.690805
,2022-02-21,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.406493
,2022-02-22,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.552848
,2022-02-23,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.317455
,2022-02-24,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.618918999999998
,2022-02-25,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.855985
,2022-02-26,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.960998
,2022-02-27,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,18.378712
,2022-02-28,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.572896
,2022-03-01,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.233017999999998
,2022-03-02,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.394152
,2022-03-03,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.57129
,2022-03-04,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.056263
,2022-03-05,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.727231
,2022-03-06,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,14.196655
,2022-03-07,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,15.390649
,2022-03-08,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.894308
,2022-03-09,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,18.863583
,2022-03-10,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,19.282495
,2022-03-11,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,19.677959
,2022-03-12,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.835859
,2022-03-13,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.855274
,2022-03-14,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,10.645547
,2022-03-15,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,13.832742
,2022-03-16,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,9.261516
,2022-03-17,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.16056
,2022-03-18,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,17.437723
,2022-03-19,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,12.392555
,2022-03-20,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,11.493135
,2022-03-21,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,16.349675
,2022-03-22,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,20.066495
,2022-03-23,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,19.641077
,2022-03-24,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,18.498363
,2022-03-25,31157,TERMAG CL,Consumidor Livre,SUDESTE,38.400000000000006,11.794792
