MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,84630,TREFIX,Consumidor Especial,SUL,12.48,0.216253
,2022-01-02,84630,TREFIX,Consumidor Especial,SUL,12.48,0.21695
,2022-01-03,84630,TREFIX,Consumidor Especial,SUL,12.48,0.27342
,2022-01-04,84630,TREFIX,Consumidor Especial,SUL,12.48,0.266749
,2022-01-05,84630,TREFIX,Consumidor Especial,SUL,12.48,3.232394
,2022-01-06,84630,TREFIX,Consumidor Especial,SUL,12.48,4.837105
,2022-01-07,84630,TREFIX,Consumidor Especial,SUL,12.48,4.978419
,2022-01-08,84630,TREFIX,Consumidor Especial,SUL,12.48,0.768702
,2022-01-09,84630,TREFIX,Consumidor Especial,SUL,12.48,0.25404
,2022-01-10,84630,TREFIX,Consumidor Especial,SUL,12.48,5.232654
,2022-01-11,84630,TREFIX,Consumidor Especial,SUL,12.48,5.358557
,2022-01-12,84630,TREFIX,Consumidor Especial,SUL,12.48,5.758463
,2022-01-13,84630,TREFIX,Consumidor Especial,SUL,12.48,5.106245
,2022-01-14,84630,TREFIX,Consumidor Especial,SUL,12.48,3.743137
,2022-01-15,84630,TREFIX,Consumidor Especial,SUL,12.48,0.953389
,2022-01-16,84630,TREFIX,Consumidor Especial,SUL,12.48,0.868966
,2022-01-17,84630,TREFIX,Consumidor Especial,SUL,12.48,5.885536
,2022-01-18,84630,TREFIX,Consumidor Especial,SUL,12.48,5.365608
,2022-01-19,84630,TREFIX,Consumidor Especial,SUL,12.48,5.566924
,2022-01-20,84630,TREFIX,Consumidor Especial,SUL,12.48,5.521091
,2022-01-21,84630,TREFIX,Consumidor Especial,SUL,12.48,5.295214
,2022-01-22,84630,TREFIX,Consumidor Especial,SUL,12.48,0.930777
,2022-01-23,84630,TREFIX,Consumidor Especial,SUL,12.48,0.745724
,2022-01-24,84630,TREFIX,Consumidor Especial,SUL,12.48,4.681996
,2022-01-25,84630,TREFIX,Consumidor Especial,SUL,12.48,4.799644
,2022-01-26,84630,TREFIX,Consumidor Especial,SUL,12.48,5.041549
,2022-01-27,84630,TREFIX,Consumidor Especial,SUL,12.48,5.608536
,2022-01-28,84630,TREFIX,Consumidor Especial,SUL,12.48,5.384026
,2022-01-29,84630,TREFIX,Consumidor Especial,SUL,12.48,0.834282
,2022-01-30,84630,TREFIX,Consumidor Especial,SUL,12.48,0.596795
,2022-01-31,84630,TREFIX,Consumidor Especial,SUL,12.48,4.860263
,2022-02-01,84630,TREFIX,Consumidor Especial,SUL,12.48,4.588591
,2022-02-02,84630,TREFIX,Consumidor Especial,SUL,12.48,4.765188
,2022-02-03,84630,TREFIX,Consumidor Especial,SUL,12.48,4.660996
,2022-02-04,84630,TREFIX,Consumidor Especial,SUL,12.48,4.472877
,2022-02-05,84630,TREFIX,Consumidor Especial,SUL,12.48,1.024382
,2022-02-06,84630,TREFIX,Consumidor Especial,SUL,12.48,0.453031
,2022-02-07,84630,TREFIX,Consumidor Especial,SUL,12.48,3.152039
,2022-02-08,84630,TREFIX,Consumidor Especial,SUL,12.48,3.846373
,2022-02-09,84630,TREFIX,Consumidor Especial,SUL,12.48,3.927632
,2022-02-10,84630,TREFIX,Consumidor Especial,SUL,12.48,4.3828890000000005
,2022-02-11,84630,TREFIX,Consumidor Especial,SUL,12.48,4.27533
,2022-02-12,84630,TREFIX,Consumidor Especial,SUL,12.48,1.047945
,2022-02-13,84630,TREFIX,Consumidor Especial,SUL,12.48,0.323695
,2022-02-14,84630,TREFIX,Consumidor Especial,SUL,12.48,5.308652
,2022-02-15,84630,TREFIX,Consumidor Especial,SUL,12.48,4.442638
,2022-02-16,84630,TREFIX,Consumidor Especial,SUL,12.48,4.884331
,2022-02-17,84630,TREFIX,Consumidor Especial,SUL,12.48,5.206688
,2022-02-18,84630,TREFIX,Consumidor Especial,SUL,12.48,5.735089
,2022-02-19,84630,TREFIX,Consumidor Especial,SUL,12.48,0.636946
,2022-02-20,84630,TREFIX,Consumidor Especial,SUL,12.48,0.241996
,2022-02-21,84630,TREFIX,Consumidor Especial,SUL,12.48,4.034417
,2022-02-22,84630,TREFIX,Consumidor Especial,SUL,12.48,4.664173
,2022-02-23,84630,TREFIX,Consumidor Especial,SUL,12.48,3.984111
,2022-02-24,84630,TREFIX,Consumidor Especial,SUL,12.48,4.708966
,2022-02-25,84630,TREFIX,Consumidor Especial,SUL,12.48,3.283381
,2022-02-26,84630,TREFIX,Consumidor Especial,SUL,12.48,0.302444
,2022-02-27,84630,TREFIX,Consumidor Especial,SUL,12.48,0.230799
,2022-02-28,84630,TREFIX,Consumidor Especial,SUL,12.48,4.345276999999999
,2022-03-01,84630,TREFIX,Consumidor Especial,SUL,12.48,4.81278
,2022-03-02,84630,TREFIX,Consumidor Especial,SUL,12.48,3.836212
,2022-03-03,84630,TREFIX,Consumidor Especial,SUL,12.48,3.910452
,2022-03-04,84630,TREFIX,Consumidor Especial,SUL,12.48,4.456316
,2022-03-05,84630,TREFIX,Consumidor Especial,SUL,12.48,0.518865
,2022-03-06,84630,TREFIX,Consumidor Especial,SUL,12.48,0.296964
,2022-03-07,84630,TREFIX,Consumidor Especial,SUL,12.48,4.413316
,2022-03-08,84630,TREFIX,Consumidor Especial,SUL,12.48,5.397772
,2022-03-09,84630,TREFIX,Consumidor Especial,SUL,12.48,5.267438
,2022-03-10,84630,TREFIX,Consumidor Especial,SUL,12.48,5.106924
,2022-03-11,84630,TREFIX,Consumidor Especial,SUL,12.48,5.403681
,2022-03-12,84630,TREFIX,Consumidor Especial,SUL,12.48,0.806545
,2022-03-13,84630,TREFIX,Consumidor Especial,SUL,12.48,0.591544
,2022-03-14,84630,TREFIX,Consumidor Especial,SUL,12.48,4.242821
,2022-03-15,84630,TREFIX,Consumidor Especial,SUL,12.48,4.5780270000000005
,2022-03-16,84630,TREFIX,Consumidor Especial,SUL,12.48,4.736845
,2022-03-17,84630,TREFIX,Consumidor Especial,SUL,12.48,4.470548
,2022-03-18,84630,TREFIX,Consumidor Especial,SUL,12.48,0.523112
,2022-03-19,84630,TREFIX,Consumidor Especial,SUL,12.48,0.236544
,2022-03-20,84630,TREFIX,Consumidor Especial,SUL,12.48,0.23591
,2022-03-21,84630,TREFIX,Consumidor Especial,SUL,12.48,4.84534
,2022-03-22,84630,TREFIX,Consumidor Especial,SUL,12.48,5.286062
,2022-03-23,84630,TREFIX,Consumidor Especial,SUL,12.48,5.308061
,2022-03-24,84630,TREFIX,Consumidor Especial,SUL,12.48,5.103297
,2022-03-25,84630,TREFIX,Consumidor Especial,SUL,12.48,5.278455
,2022-03-26,84630,TREFIX,Consumidor Especial,SUL,12.48,0.605338
,2022-03-27,84630,TREFIX,Consumidor Especial,SUL,12.48,0.280998
,2022-03-28,84630,TREFIX,Consumidor Especial,SUL,12.48,5.146087
,2022-03-29,84630,TREFIX,Consumidor Especial,SUL,12.48,6.147983
,2022-03-30,84630,TREFIX,Consumidor Especial,SUL,12.48,5.090531
,2022-03-31,84630,TREFIX,Consumidor Especial,SUL,12.48,5.353319
,2022-04-01,84630,TREFIX,Consumidor Especial,SUL,12.48,5.153855
,2022-04-02,84630,TREFIX,Consumidor Especial,SUL,12.48,0.552509
,2022-04-03,84630,TREFIX,Consumidor Especial,SUL,12.48,0.256626
,2022-04-04,84630,TREFIX,Consumidor Especial,SUL,12.48,4.858188
,2022-04-05,84630,TREFIX,Consumidor Especial,SUL,12.48,5.545343
,2022-04-06,84630,TREFIX,Consumidor Especial,SUL,12.48,5.676145
,2022-04-07,84630,TREFIX,Consumidor Especial,SUL,12.48,5.641234
,2022-04-08,84630,TREFIX,Consumidor Especial,SUL,12.48,5.209022
,2022-04-09,84630,TREFIX,Consumidor Especial,SUL,12.48,0.809547
,2022-04-10,84630,TREFIX,Consumidor Especial,SUL,12.48,0.479528
,2022-04-11,84630,TREFIX,Consumidor Especial,SUL,12.48,5.446312
,2022-04-12,84630,TREFIX,Consumidor Especial,SUL,12.48,5.587418
,2022-04-13,84630,TREFIX,Consumidor Especial,SUL,12.48,5.7124120000000005
,2022-04-14,84630,TREFIX,Consumidor Especial,SUL,12.48,5.949905
,2022-04-15,84630,TREFIX,Consumidor Especial,SUL,12.48,0.3995869999999999
,2022-04-16,84630,TREFIX,Consumidor Especial,SUL,12.48,0.337496
,2022-04-17,84630,TREFIX,Consumidor Especial,SUL,12.48,0.338591
,2022-04-18,84630,TREFIX,Consumidor Especial,SUL,12.48,4.087808
,2022-04-19,84630,TREFIX,Consumidor Especial,SUL,12.48,4.41579
,2022-04-20,84630,TREFIX,Consumidor Especial,SUL,12.48,4.616644
,2022-04-21,84630,TREFIX,Consumidor Especial,SUL,12.48,0.505414
,2022-04-22,84630,TREFIX,Consumidor Especial,SUL,12.48,4.893638
,2022-04-23,84630,TREFIX,Consumidor Especial,SUL,12.48,0.832393
,2022-04-24,84630,TREFIX,Consumidor Especial,SUL,12.48,0.517788
,2022-04-25,84630,TREFIX,Consumidor Especial,SUL,12.48,5.439468
,2022-04-26,84630,TREFIX,Consumidor Especial,SUL,12.48,5.373185
,2022-04-27,84630,TREFIX,Consumidor Especial,SUL,12.48,5.332217
,2022-04-28,84630,TREFIX,Consumidor Especial,SUL,12.48,5.954167
,2022-04-29,84630,TREFIX,Consumidor Especial,SUL,12.48,5.259918
,2022-04-30,84630,TREFIX,Consumidor Especial,SUL,12.48,0.453913
,2022-05-01,84630,TREFIX,Consumidor Especial,SUL,12.48,0.244601
,2022-05-02,84630,TREFIX,Consumidor Especial,SUL,12.48,4.983027
,2022-05-03,84630,TREFIX,Consumidor Especial,SUL,12.48,6.158618
,2022-05-04,84630,TREFIX,Consumidor Especial,SUL,12.48,5.884483
,2022-05-05,84630,TREFIX,Consumidor Especial,SUL,12.48,5.870633
,2022-05-06,84630,TREFIX,Consumidor Especial,SUL,12.48,5.329045
,2022-05-07,84630,TREFIX,Consumidor Especial,SUL,12.48,0.404702
,2022-05-08,84630,TREFIX,Consumidor Especial,SUL,12.48,0.336051
,2022-05-09,84630,TREFIX,Consumidor Especial,SUL,12.48,4.546489
,2022-05-10,84630,TREFIX,Consumidor Especial,SUL,12.48,5.337748
,2022-05-11,84630,TREFIX,Consumidor Especial,SUL,12.48,5.476079
,2022-05-12,84630,TREFIX,Consumidor Especial,SUL,12.48,4.747045
,2022-05-13,84630,TREFIX,Consumidor Especial,SUL,12.48,4.556499
,2022-05-14,84630,TREFIX,Consumidor Especial,SUL,12.48,1.362374
,2022-05-15,84630,TREFIX,Consumidor Especial,SUL,12.48,0.573735
,2022-05-16,84630,TREFIX,Consumidor Especial,SUL,12.48,5.667153
,2022-05-17,84630,TREFIX,Consumidor Especial,SUL,12.48,5.998761
,2022-05-18,84630,TREFIX,Consumidor Especial,SUL,12.48,6.059996
,2022-05-19,84630,TREFIX,Consumidor Especial,SUL,12.48,5.10328
,2022-05-20,84630,TREFIX,Consumidor Especial,SUL,12.48,5.181195
,2022-05-21,84630,TREFIX,Consumidor Especial,SUL,12.48,0.666498
,2022-05-22,84630,TREFIX,Consumidor Especial,SUL,12.48,0.241153
,2022-05-23,84630,TREFIX,Consumidor Especial,SUL,12.48,5.997412
,2022-05-24,84630,TREFIX,Consumidor Especial,SUL,12.48,5.846506
,2022-05-25,84630,TREFIX,Consumidor Especial,SUL,12.48,6.316244
,2022-05-26,84630,TREFIX,Consumidor Especial,SUL,12.48,5.4157020000000005
,2022-05-27,84630,TREFIX,Consumidor Especial,SUL,12.48,5.544238
,2022-05-28,84630,TREFIX,Consumidor Especial,SUL,12.48,0.995498
,2022-05-29,84630,TREFIX,Consumidor Especial,SUL,12.48,0.27453
,2022-05-30,84630,TREFIX,Consumidor Especial,SUL,12.48,5.116589
,2022-05-31,84630,TREFIX,Consumidor Especial,SUL,12.48,6.14204
,2022-06-01,84630,TREFIX,Consumidor Especial,SUL,12.48,6.351154
,2022-06-02,84630,TREFIX,Consumidor Especial,SUL,12.48,5.742998
,2022-06-03,84630,TREFIX,Consumidor Especial,SUL,12.48,5.8305
,2022-06-04,84630,TREFIX,Consumidor Especial,SUL,12.48,1.428386
,2022-06-05,84630,TREFIX,Consumidor Especial,SUL,12.48,0.241424
