MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-07-01,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.834365
,2023-07-02,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.736546
,2023-07-03,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.281352
,2023-07-04,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.827537
,2023-07-05,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.897691
,2023-07-06,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.540225
,2023-07-07,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.493235
,2023-07-08,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.794701
,2023-07-09,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.786174
,2023-07-10,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.986361
,2023-07-11,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.062701
,2023-07-12,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.052518
,2023-07-13,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.07717
,2023-07-14,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.0176
,2023-07-15,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.983827
,2023-07-16,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.955903
,2023-07-17,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.046917
,2023-07-18,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.919271
,2023-07-19,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.833544
,2023-07-20,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.990448
,2023-07-21,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.191033
,2023-07-22,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.8921
,2023-07-23,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.83753
,2023-07-24,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.884203
,2023-07-25,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.889666
,2023-07-26,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.882423
,2023-07-27,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.782228
,2023-07-28,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.812463
,2023-07-29,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.943442
,2023-07-30,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.905937
,2023-07-31,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.890375
,2023-08-01,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.888175
,2023-08-02,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.931526
,2023-08-03,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.878674
,2023-08-04,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.850198
,2023-08-05,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.961073
,2023-08-06,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.976689
,2023-08-07,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.951512
,2023-08-08,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,3.883759
,2023-08-09,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.029928
,2023-08-10,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.071127
,2023-08-11,107948,ULTRABOX GO,Consumidor Especial,SUDESTE,5.04,4.051024
