MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,3.245423
,2023-01-02,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,11.123677
,2023-01-03,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,18.117295
,2023-01-04,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,19.820619
,2023-01-05,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,20.710626
,2023-01-06,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.745594
,2023-01-07,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,24.410948
,2023-01-08,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,23.445294
,2023-01-09,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,20.379425
,2023-01-10,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,20.54959
,2023-01-11,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,22.17189
,2023-01-12,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,23.137758
,2023-01-13,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.865698
,2023-01-14,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,25.123491
,2023-01-15,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,23.770076
,2023-01-16,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,19.305351
,2023-01-17,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,19.611772
,2023-01-18,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.886001
,2023-01-19,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.178066
,2023-01-20,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.915125
,2023-01-21,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.530492
,2023-01-22,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.445377
,2023-01-23,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,21.259653
,2023-01-24,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,20.458699
,2023-01-25,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,20.488184
,2023-01-26,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,16.90575
,2023-01-27,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,17.089739
,2023-01-28,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,17.237855
,2023-01-29,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,17.639525
,2023-01-30,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,18.630769
,2023-01-31,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,19.20309
,2023-02-01,41940,VITAMASSA,Consumidor Livre,NORDESTE,31.200000000000003,19.829134
