MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-11-01,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.448549
,2023-11-02,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.003577
,2023-11-03,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.691874
,2023-11-04,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.41802
,2023-11-05,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.210094
,2023-11-06,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.284088
,2023-11-07,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.275723
,2023-11-08,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.340032
,2023-11-09,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.738918
,2023-11-10,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.640588
,2023-11-11,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.593996
,2023-11-12,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.58777
,2023-11-13,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.419319
,2023-11-14,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.403081
,2023-11-15,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.08176
,2023-11-16,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.251567
,2023-11-17,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.118953
,2023-11-18,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.902248
,2023-11-19,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.831378
,2023-11-20,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.234456
,2023-11-21,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.108646
,2023-11-22,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.042362
,2023-11-23,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.204708
,2023-11-24,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.730825
,2023-11-25,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.166687
,2023-11-26,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,1.740349
,2023-11-27,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.446552
,2023-11-28,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.661306
,2023-11-29,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.509283
,2023-11-30,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.892181
,2023-12-01,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.730111
,2023-12-02,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.897367
,2023-12-03,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.171827
,2023-12-04,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.194388
,2023-12-05,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.210197
,2023-12-06,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.899346
,2023-12-07,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,3.26617
,2023-12-08,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.845842
,2023-12-09,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.54954
,2023-12-10,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.021579
,2023-12-11,118586,YOUTILITY CENTER VR,Consumidor Especial,SUDESTE,8.64,2.418071
