MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202409.0,2024-09-01,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,8.176436
202409.0,2024-09-02,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.074233
202409.0,2024-09-03,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,34.829067
202409.0,2024-09-04,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,36.952025
202409.0,2024-09-05,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,36.165885
202409.0,2024-09-06,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.701047
202409.0,2024-09-07,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,5.898028
202409.0,2024-09-08,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,5.428235
202409.0,2024-09-09,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,23.509652
202409.0,2024-09-10,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.874403
202409.0,2024-09-11,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,33.092802
202409.0,2024-09-12,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,34.428033
202409.0,2024-09-13,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,37.224682
202409.0,2024-09-14,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,33.43668
202409.0,2024-09-15,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,5.9465
202409.0,2024-09-16,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,32.288142
202409.0,2024-09-17,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.995917
202409.0,2024-09-18,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,32.89124
202409.0,2024-09-19,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,38.983495
202409.0,2024-09-20,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,41.760202
202409.0,2024-09-21,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,37.326464
202409.0,2024-09-22,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,6.106101
202409.0,2024-09-23,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.049703
202409.0,2024-09-24,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.973822
202409.0,2024-09-25,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,34.842796
202409.0,2024-09-26,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,36.644392
202409.0,2024-09-27,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.256585
202409.0,2024-09-28,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,30.84796
202409.0,2024-09-29,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,7.695975
202409.0,2024-09-30,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,33.179402
202410.0,2024-10-01,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,34.349572
202410.0,2024-10-02,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.173693
202410.0,2024-10-03,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,35.987124
202410.0,2024-10-04,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,37.572768
202410.0,2024-10-05,40735,YPE QUIMICA ITAPISSUMA,Consumidor Livre,NORDESTE,36.0,34.426114
